nr,site,timestamp,method,schweregrad,vermutete_ursache,handlungsempfehlung_1,handlungsempfehlung_2,handlungsempfehlung_3,confidence,llm_model,processing_time_s
20,Baumarkt_06,2026-02-20 08:00:00+01:00,arima,mittel,"Erhöhte Beleuchtung in den Lagerhallen und Kühlschränken zur Vorbereitung auf den Freitagabend-Verkauf, obwohl derzeit noch keine Kunden anwesend sind.","Überprüfen, ob die Beleuchtung in Lagerhallen und Kühlschränken nicht unnötig eingeschaltet ist.","Prüfen, ob die Kühlanlagen in den Gartencentern und Getränkebereichen nicht übermäßig laufen, da derzeit keine Kunden vorhanden sind.","Erstellen eines Überwachungsplans für Freitagsmorgen, um zu vermeiden, dass unnötige Lasten auftreten.",0.8,qwen2.5:7b,7.52
21,Baumarkt_08,2023-03-02 01:00:00+01:00,cluster_segment,hoch,"Nachtabsenkung der HVAC-Systeme wurde nicht eingehalten, vermutlich durch manuelles Ausblenden oder Defekt in der Regelung.",Überprüfen und Wartung der HVAC-Steuerung umgehend,Prüfung der Nachtabsenkungs-Einstellungen bei den Beleuchtungsanlagen,"Erstellen eines Überwachungsskripts für die Nachtlast, das automatisch Meldungen sendet, wenn Last über 20 kW liegt",0.85,qwen2.5:7b,6.08
22,Baumarkt_08,2023-03-03 01:00:00+01:00,cluster_segment,hoch,"Nachtabsenkung der HVAC-Systeme wurde nicht eingehalten, obwohl es keinen Bedarf zur Heizung gibt.","Überprüfen Sie die Programmierung der HVAC-Steuerung und stellen Sie sicher, dass sie nachts korrekt absinkt.","Prüfen Sie den Status der Lüftungsanlagen, um auszuschließen, dass unnötige Ventile geöffnet sind.","Erhöhen Sie die Wartungstermine für die HVAC-Systeme, um eventuelle Defekte zu erkennen und zu beheben.",0.85,qwen2.5:7b,6.62
23,Baumarkt_08,2023-03-04 01:00:00+01:00,cluster_segment,hoch,Nachtabsenkung der HVAC-Systeme wurde nicht eingehalten; möglicherweise auch unerwarteter Betrieb von Kühlgeräten im Gartencenter.,"Überprüfen und einstellen des Zeitprogramms der HVAC-Steuerung, um sicherzustellen, dass nachts die Grundlast reduziert wird.","Prüfen, ob Kühlgeräte im Gartencenter oder Getränkebereich unerwartet aktiviert wurden; falls ja, korrigieren.","Wartungstermin vereinbaren, um die Regelungen der HVAC-Systeme zu überprüfen und notwendige Anpassungen vorzunehmen.",0.85,qwen2.5:7b,7.37
24,Baumarkt_08,2023-03-05 01:00:00+01:00,cluster_segment,hoch,"Heizung/Lüftung läuft trotz geschlossener Filiale und geringer Temperatur, vermutlich due to Fehlkonfiguration der Steuerung.",Überprüfen und optimieren der Zeitprogramme für HVAC-Systeme,"Wartungstermin vereinbaren, um Regelungssystem zu überprüfen und eventuell anzupassen","Kontrollieren, ob alle Türen geschlossen sind, da offene Türen zu zusätzlicher Wärmeabfuhr führen können",0.85,qwen2.5:7b,6.4
25,Baumarkt_08,2023-03-06 01:00:00+01:00,cluster_segment,hoch,"Heizung läuft trotz geringer Temperatur und fehlendem Kundenverkehr durchgehend, vermutlich unoptimiertes Zeitprogramm.",Zeitprogramm der Heizung überprüfen und auf den tatsächlichen Bedarf anpassen,"Nachtabsenkung aktivieren, um unnötige Energie zu sparen","Wartungstermin vereinbaren, um die Regelung der Heizung zu prüfen",0.85,qwen2.5:7b,5.85
26,Baumarkt_08,2024-12-31 12:00:00+01:00,cluster_segment,niedrig,"Möglicherweise erhöhte Beleuchtung in den Lagerhallen oder zusätzliche Kühlmengen im Gartencenter, da der Feiertag nicht anliegt und die Wetterbedingungen normal sind.",Überprüfen Sie die Status der Lagerhallenbeleuchtung und Kühlschrankanlagen.,Prüfen Sie den Betriebsstatus der Kühlgeräte im Gartencenter auf unnötige Energieverbrauch.,"Beobachten Sie das System über 1-2 Tage, um Trends zu identifizieren.",0.8,qwen2.5:7b,6.75
27,Baumarkt_08,2025-07-14 02:00:00+02:00,cluster_segment,hoch,"Nachtabsenkung der HVAC-Systeme wurde nicht eingehalten, da die Filiale offen war.",Überprüfen Sie den Zeitplan der HVAC-Steuerung auf korrekte Einstellungen für geschlossene Zeiten,"Aktualisieren Sie die Nachtabsenkungsregeln, um sicherzustellen, dass sie auch bei geöffneten Filialen angewendet werden",Erhöhen Sie den Überwachungsschwerpunkt auf die HVAC-Systeme während der Öffnungszeiten,0.85,qwen2.5:7b,6.42
28,Baumarkt_10,2025-12-19 16:15:00+01:00,zscore_stl,hoch,"Erhöhte Beleuchtung und HVAC-Last im Nachmittag, da es keine besonderen Ereignisse gibt.","Überprüfen der Betriebszeiten von Läden und Kühlschränken im Gartencenter, um unnötige Energie zu sparen",Prüfung und Optimierung des Zeitprogramms für Beleuchtung und HVAC-Systeme,Wartungscheck an den relevanten Anlagen zur Reduzierung der Last,0.85,qwen2.5:7b,6.01
29,Baumarkt_14,2024-04-07 01:15:00+02:00,zscore_stl,niedrig,"Nachtlast ist höher als erwartet, vermutlich überflüssige Betriebseinrichtungen.",Überprüfen der Regelung der HVAC-Systeme auf Überbetriebung während der Nacht.,Prüfung und eventuelle Absenkung der Beleuchtungsleistung in nicht benötigten Bereichen.,"Wartungstermin vereinbaren, um die Anomalie gründlich zu untersuchen.",0.8,qwen2.5:7b,5.52
30,Baumarkt_14,2024-04-27 02:30:00+02:00,zscore_stl,mittel,"Nachtabsenkung der Beleuchtung und HVAC-Systeme wurde nicht eingehalten, da der Markt noch offiziell geschlossen war.",Überprüfen Sie die Zeitprogramme der Beleuchtungs- und HVAC-Systeme auf korrekte Einstellungen für geschlossene Zeiten.,"Erstellen Sie eine Notfallanweisung, um sicherzustellen, dass auch während ungewöhnlicher Zeiten die Systeme korrekt absinken.","Wartungstermin vereinbaren, um die Funktion der Regelungen zu überprüfen und notwendige Anpassungen vorzunehmen.",0.85,qwen2.5:7b,6.93
31,Baumarkt_14,2024-05-01 02:00:00+02:00,zscore_stl,hoch,"Nachtabsenkung der HVAC-Systeme wurde nicht eingehalten, obwohl das Geschäft geschlossen ist.","Überprüfen und aktivieren Sie die Nachtprogrammierung der HVAC-Steuerung, um den Verbrauch zu reduzieren.","Prüfen Sie die Lüftungsanlage, da sie möglicherweise trotz geschlossener Filiale noch läuft.","Wartungstermin vereinbaren, um eventuelle Defekte in der Regelung zu identifizieren und zu beheben.",0.85,qwen2.5:7b,6.33
32,Baumarkt_14,2024-05-25 02:15:00+02:00,zscore_stl,mittel,Nachtabsenkung der Kühlanlagen im Gartencenter und Getränkebereich wurde nicht eingehalten.,"Überprüfen Sie die Regelung der Kühlanlagen, um sicherzustellen, dass sie nachts absenken.","Prüfen Sie den Status der Lüftungsanlage, da auch diese möglicherweise unerwartet aktiv ist.",Erstellen Sie eine Notfallliste für häufig aufkommende Anomalien und überprüfen Sie sie regelmäßig.,0.8,qwen2.5:7b,6.04
33,Baumarkt_14,2024-07-20 02:15:00+02:00,zscore_stl,mittel,"Nachtabsenkung der Beleuchtung und Kühlanlagen wurde nicht eingehalten, da der Markt noch offiziell geschlossen war.",Überprüfung und Einrichtung eines Zeitprogramms für die Nacht- und Wochenendabsenkung der Beleuchtung und Kühlanlagen,"Wartungstermin vereinbaren, um die Regelung der Anlagen zu überprüfen und eventuell anzupassen","Kontrolle der Lüftungsanlage, da auch diese möglicherweise noch aktiv läuft",0.8,qwen2.5:7b,6.32
34,Baumarkt_14,2024-09-14 01:45:00+02:00,zscore_stl,mittel,Nachtabsenkung der Beleuchtung und HVAC-Systeme wurde nicht eingehalten; möglicherweise ist ein Zeitprogramm fehlerhaft eingerichtet.,"Überprüfen Sie die Zeitplanung des HVAC-Systems, um sicherzustellen, dass es nachts und am Wochenende absinkt.",Prüfen Sie den Status der Beleuchtungsanlagen; möglicherweise sind einige Lampen oder Systeme nicht ausgeschaltet.,"Erstellen Sie eine Wartungsterminliste für die Überprüfung aller Regelungen, um Unregelmäßigkeiten zu erkennen.",0.85,qwen2.5:7b,6.76
35,Baumarkt_14,2025-09-13 02:00:00+02:00,zscore_stl,mittel,Nachtabsenkung der Beleuchtung und HVAC-Systeme wurde nicht eingehalten; möglicherweise ist ein Zeitprogramm fehlerhaft eingerichtet oder nicht aktiviert.,"Überprüfen Sie denzeitlichen Status der Beleuchtungs- und HVAC-Zeitprogramme, um sicherzustellen, dass sie korrekt für nachts eingestellt sind.","Prüfen Sie die Steuerung des Lüftungssystems auf mögliche Defekte oder Fehlfunktionen, da dies einen zusätzlichen Lastverbrauch verursachen könnte.",Erstellen Sie eine Notfallanweisung für den Fall von weiteren Anomalien und überprüfen Sie die Implementierung regelmäßig.,0.85,qwen2.5:7b,7.62
36,Baumarkt_14,2025-10-11 02:00:00+02:00,zscore_stl,mittel,Nachtabsenkung der Beleuchtung und HVAC-Systeme wurde nicht eingehalten; möglicherweise ist ein Zeitprogramm fehlerhaft eingerichtet oder nicht aktiviert.,"Überprüfen Sie denzeitlichen Status der Beleuchtungs- und HVAC-Zeitprogramme, um sicherzustellen, dass sie korrekt für nachts eingestellt sind.","Prüfen Sie die Einstellungen der Steuerung der Anlagen, um eine mögliche Fehlfunktion auszuschließen. Aktualisieren Sie die Programmierung, wenn nötig","Erstellen Sie einen Überwachungsbericht und vereinbaren Sie regelmäßige Wartungen, um solche Fehler frühzeitig zu erkennen",0.8,qwen2.5:7b,7.81
37,Baumarkt_15,2023-04-08 08:00:00+02:00,arima,hoch,Erworbene Artikel im Gartencenter werden vorbereitet; zusätzliche Beleuchtung und Lüftung sind aktiviert.,"Überprüfen, ob die Beleuchtungsanlagen des Gartencenters korrekt eingeschaltet wurden","Prüfen, ob die Lüfter im Gartencenter und Getränkebereich übermäßig laufen","Wartungstermin vereinbaren, um die Anlagen zu inspizieren",0.85,qwen2.5:7b,6.03
38,Baumarkt_15,2023-08-27 17:00:00+02:00,arima,niedrig,"Niedriges Kundenaufkommen am Sonntag Nachmittag, da der Markt geschlossen ist und nur lokale Einheimische oder Online-Abholer aktiv sind.","Beobachten, ob dies ein zeitlich begrenzter Effekt ist oder eine allgemeine Tendenz.","Kontrollieren, ob die Beleuchtung und HVAC-Systeme korrekt auf die aktuelle Nutzung eingestellt sind.","Überprüfen, ob lokale Konkurrenten aktiv sind und möglicherweise Kunden wegmögen.",0.75,qwen2.5:7b,6.41
39,Baumarkt_19,2023-01-07 12:00:00+01:00,cluster_segment,mittel,"Möglicherweise unzureichende Absenkung der Beleuchtung und Lüftungsanlagen im Vergleich zu den vergleichbaren Tagen, da es kein Feiertag ist.",Überprüfen der Licht- und Lüftungsprogramme auf unnotige Betriebszeiten,"Prüfung des Anwesens von Kunden am Samstagmittag; anpassen, wenn nötig","Wartungstermin vereinbaren, um die Regelungen zu überprüfen",0.75,qwen2.5:7b,6.32
40,Baumarkt_19,2023-01-14 12:00:00+01:00,cluster_segment,niedrig,"Kundenaufkommen ist geringer als erwartet, vermutlich weniger Besucher am Samstagmittag",Samstags-Kundenfrequenz überprüfen und gegebenenfalls Marketingmaßnahmen planen,"Beleuchtungs-Status der Verkaufsfläche prüfen, um unnötige Energie zu sparen","Lüftung reduzieren, da die Temperatur angemessen ist",0.75,qwen2.5:7b,5.7
41,Baumarkt_19,2023-01-28 12:00:00+01:00,cluster_segment,mittel,"Möglicherweise reduzierte Beleuchtung oder HVAC-Regelungen zur Energieeinsparung, da der Markt am Samstag normalerweise weniger Last hat als an Wochentagen.","Überprüfen, ob die Beleuchtungsanlagen und HVAC-Systeme korrekt auf den aktuellen Betriebszustand eingestellt sind.","Prüfen, ob die Lüftung oder Klimaanlage unnötig läuft, da das Wetter mild ist (1.4 °C).","Beobachten, ob sich diese Anomalie auch in anderen vergleichbaren Tagen wiederholt, um eine generell geringere Last zu bestätigen.",0.8,qwen2.5:7b,7.39
42,Baumarkt_19,2023-02-03 12:00:00+01:00,cluster_segment,mittel,"Mehrere Kühlgeräte im Gartencenter laufen trotz geringer Auflage, da der Raum noch kühler ist als gewünscht.","Überprüfen, ob Kühlung in den Gartengebieten und Getränkebereichen nach Bedarf reduziert werden kann",Prüfung der Regelung der Kühlgeräte auf optimale Einstellungen angesichts der aktuellen Auflage,"Kontrolle der Lüftungsanlage, da hoher Wind die Temperatur im Gartencenter beeinflussen könnte",0.8,qwen2.5:7b,6.6
43,Baumarkt_19,2023-02-09 12:00:00+01:00,cluster_segment,niedrig,"Möglicherweise reduzierte Kundenaufkommen am Mittagstisch, da der Feiertag fehlte und das Wetter eher unattraktiv war.","Kundenzahlen im Mittagsbereich überwachen, um Trends zu identifizieren","Beleuchtung in weniger frequentierten Bereichen abschalten, wenn möglich","Lüftungsregelung anpassen, um Energie zu sparen, ohne Luftqualität beeinträchtigen zu müssen",0.75,qwen2.5:7b,5.95
44,Baumarkt_19,2024-01-13 12:00:00+01:00,cluster_segment,mittel,"Beleuchtung der Verkaufsfläche läuft möglicherweise länger als nötig, da der Haupteingang geschlossen ist.","Überprüfen, ob die Beleuchtungszeitprogramme für den Samstag angepasst sind und nicht überflüssige Lichter ausgeschaltet werden.","Prüfen, ob der Haupteingang geschlossen ist, da dies zu einer erhöhten Last führen kann, wenn die Verkaufsfläche trotzdem vollständig beleuchtet wird.","Wartungstermin vereinbaren, um die Beleuchtungsanlagen zu überprüfen und eventuelle Überlastungen zu beheben.",0.85,qwen2.5:7b,7.17
45,Baumarkt_19,2024-02-21 12:00:00+01:00,cluster_segment,hoch,"Kühlanlagen im Gartencenter und Getränkebereich laufen trotz niedriger Aufladekosten, da der Feiertag am Vortag war.","Prüfen, ob die Kühlanlagen in den Bereichen reduziert werden können oder ausgeschaltet sind, da sie unnötig laufen.","Überprüfen, ob die Beleuchtung im Gartencenter und Getränkebereich unbedingt benötigt wird, da der Feiertag vorbei ist.","Warten auf den nächsten Vergleichstag, um die Effektivität der Maßnahmen zu überprüfen.",0.85,qwen2.5:7b,6.89
46,Baumarkt_19,2024-11-20 12:00:00+01:00,cluster_segment,niedrig,"Möglicherweise reduzierte Kundenaufkommen im Mittagszeitraum aufgrund des Wetterbedingens (kühle Temperatur) oder angespannter Mitarbeiter, die sich in Ruhetime.",Kundenzahlen und Verkaufsdaten für den Mittwoch gegenprüfen,"Mitarbeiterabläufe im Mittagszeitraum überprüfen, ob Energieeinsparungsmöglichkeiten vorhanden sind",Beleuchtungs-Status der Verkaufsfläche kontrollieren,0.78,qwen2.5:7b,6.27
47,Baumarkt_19,2025-08-03 02:00:00+02:00,cluster_segment,hoch,"Heizung/Lüftung läuft trotz geschlossener Filiale und geringer Temperatur, vermutlich due to HVAC-Regelung oder Fehlkonfiguration.",Überprüfen der Zeitprogrammierung der HVAC-Systeme auf korrekte Einstellungen für geschlossene Filialen,"Prüfung und Anpassung der Regelungssysteme, um Nachtabsenkung sicherzustellen","Wartungstermin vereinbaren, um mögliche Defekte in der HVAC-Infrastruktur zu prüfen",0.85,qwen2.5:7b,6.58
48,Baumarkt_19,2025-08-04 02:00:00+02:00,cluster_segment,hoch,"Nachtabsenkung der HVAC-Systeme wurde nicht eingehalten, vermutlich durch manuelle Ausnahmebedingungen oder Defekt in der Regelung.",Überprüfen und automatisieren der Regelung der HVAC-Systeme zur Nachtzeit,"Prüfung und eventueller Wartung der Lüftungsanlage, da hohe Last auch bei geringem Außen temperatur ungewöhnlich ist","Kontrollieren der Beleuchtung, ob nicht übermäßige Lichter angeschaltet sind",0.85,qwen2.5:7b,6.38
49,Baumarkt_19,2025-12-01 12:00:00+01:00,cluster_segment,hoch,"Kühlanlagen im Gartencenter und Getränkebereich laufen trotz geringer Temperatur, da derzeit kein Wetterbedingungsausgleich aktiv ist.","Wetterbedingungsausgleich für Kühlanlagen aktivieren, um Energie zu sparen","Überprüfen, ob alle nicht notwendigen Kühlgeräte ausgeschaltet sind","Kühltemperatur in den Bereichen anpassen, die geringere Kühlanforderungen haben",0.85,qwen2.5:7b,6.15
50,Baumarkt_24,2024-04-19 14:15:00+02:00,zscore_stl,hoch,"Erhöhte Beleuchtung und Ventilation aufgrund des schlechten Wetters mit Regen, obwohl normalerweise nur geringere Last zu erwarten ist.",Überprüfen der Licht- und Lüftungsprogramme auf Anpassung an das Wetter,"Wartungstermin vereinbaren, um die Effizienz der Anlagen zu überprüfen","Kundenströme im Freitagnachmittag beobachten, um mögliche Einflüsse zu identifizieren",0.85,qwen2.5:7b,6.33
51,Baumarkt_24,2024-04-19 14:30:00+02:00,zscore_stl,hoch,Erhöhte Beleuchtung und HVAC-Last wegen schlechten Wetters mit Regen und niedriger Temperatur (9.2 °C),"Prüfen, ob die Beleuchtungsanlagen und Klimaanlagen nicht übermäßig eingeschaltet wurden",Überprüfung der HVAC-Regelung auf optimale Einstellungen für den aktuellen Wetterzustand,"Wartungstermin vereinbaren, um die Anlagen zu prüfen und eventuell zu optimieren",0.85,qwen2.5:7b,6.13
52,Baumarkt_24,2024-05-31 14:15:00+02:00,zscore_stl,mittel,"Erhöhte Beleuchtung in den Lagerhallen und Verkaufsflächen zur Vorbereitung auf den nachfolgenden Wochenendeinkauf, sowie möglicherweise zusätzliche Kühlanlagen für frische Getränke und Lebensmittel.","Überprüfen der Beleuchtungsprogramme in Lagerhallen und Verkaufsflächen, um unnötige Energie zu sparen","Prüfung der Kühlanlagen für frische Getränke und Lebensmittel, ob zusätzliche Anlagen notwendig sind oder optimierungen möglich",Erstellen eines Wochenend-Optimierungskalenders zur Reduzierung von Beleuchtung und Klimaanlagen,0.8,qwen2.5:7b,7.47
53,Baumarkt_24,2024-05-31 14:30:00+02:00,zscore_stl,hoch,Erhöhte Beleuchtung und HVAC-Last im Freitagnachmittag aufgrund erhöhter Kundenaufkommen oder Defekt in der Steuerung.,"Kundenzahlen des Nachmittags prüfen, ob mehr Kunden als üblich vorhanden sind",Überprüfung und Anpassung der Beleuchtungs- und HVAC-Zeitprogramme,"Wartungstermin vereinbaren, um Regelungen zu überprüfen",0.85,qwen2.5:7b,5.89
